V_fci V_hf C_fci C_hf b c
2.374714202100506114e-02 8.687393230911957809e-02 1.238989410665569928e-03 1.488672306066168632e-03 9.982486385239451865e-01 -1.987780269750367479e+00
2.429789613709648632e-02 1.589178308036802989e-01 2.078885007543258487e-03 4.075943941494322015e-03 1.000007300432431467e+00 -1.819579500474667544e+00
2.374734335550153508e-02 8.687857452575095674e-02 1.238738737299671915e-03 1.488672913254487137e-03 1.000482448276583058e+00 -1.990111023095746390e+00
5.728079568236121855e-03 2.455538219985121395e-01 1.917999068084691623e-03 1.509344725313138897e-03 9.998963446419675272e-01 -1.013483745773249733e+00
4.460629626373371903e-02 6.426139620077780663e-05 3.408814603946382516e-03 7.305314035508415904e-04 9.998583383741521668e-01 -1.997332941171578558e+00
5.729572172789743068e-03 2.456816258990850155e-01 1.918486251476238767e-03 1.509345271595608027e-03 9.997513224629331896e-01 -1.013014668848651212e+00
2.429873584602071368e-02 1.589204745723097334e-01 2.078958101876834334e-03 4.075944937985194472e-03 1.000413243963962584e+00 -1.820041320846563782e+00
2.374841114842244499e-02 8.687394118788746566e-02 1.239344187897223684e-03 1.488695595735100088e-03 1.001922031134696356e+00 -1.991541972543120265e+00
4.507341223689143722e-02 1.004026631038400642e-06 3.883996918094597111e-03 7.331261973308288290e-04 1.000007531582189468e+00 -1.997527801920141011e+00
4.460654823848272943e-02 6.422651087301236910e-05 3.408957762329327054e-03 7.305314285574852646e-04 1.000048323081535351e+00 -1.997531381763181901e+00
4.474658128159936243e-02 3.910341914847920494e-05 3.552939355063504390e-03 7.312699167002268980e-04 1.000062325376983585e+00 -1.997461928895326144e+00
5.728504387856214741e-03 2.455762416448595831e-01 1.918092628197204906e-03 1.509345434770249794e-03 9.999995198998115065e-01 -1.013466445711338260e+00
5.727449195444322960e-03 2.454986703337577181e-01 1.917804080994018300e-03 1.509344780727471524e-03 9.999928108364269930e-01 -1.013703458379979550e+00
8.281838140081343447e-02 1.587201878913370445e-01 2.392213965913156121e-03 5.675751164673064827e-03 1.000004266449575852e+00 -1.821237237232578243e+00
2.429768462655712558e-02 1.589170104803492301e-01 2.078868847119667157e-03 4.075944000615651375e-03 9.999750063451544602e-01 -1.819521259473002361e+00
4.497439217586286786e-02 8.620112353292534772e-06 3.783932993551131392e-03 7.325251369467622366e-04 1.000455111429518151e+00 -1.997948535932346115e+00
2.429745475948955069e-02 1.589141644159943190e-01 2.078895773340638364e-03 4.075944967735101870e-03 1.000431178253321285e+00 -1.819835640329386717e+00
2.374768900215217665e-02 8.687442744988201071e-02 1.239204309978954224e-03 1.488671445441572955e-03 1.000060697857045877e+00 -1.989685354035414022e+00
2.374772334877479907e-02 8.687517016553300553e-02 1.239133669406458117e-03 1.488671450987719396e-03 9.999041154081284022e-01 -1.989545432863526697e+00
2.429769625874086958e-02 1.589163386869488215e-01 2.078804547741847173e-03 4.075943971942757454e-03 1.000000310740313036e+00 -1.819520669465906071e+00
5.727477111465928417e-03 2.455042255874291257e-01 1.917797989081695400e-03 1.509344768636190857e-03 9.999617381018968132e-01 -1.013670552024314997e+00
4.477520184150397126e-02 3.733421151138333733e-05 3.580760660383723072e-03 7.314433181536016864e-04 9.984630927071160844e-01 -1.995965069398968783e+00
8.090733949076328591e-02 1.572509725318739782e-01 2.122195296568398209e-03 5.104424853532878691e-03 9.998070232056196494e-01 -1.765404335033299521e+00
2.374735454227210746e-02 8.687626283922107728e-02 1.238931182237781262e-03 1.488671329446132922e-03 9.998866320387524986e-01 -1.989492373448745299e+00
2.374750921410129917e-02 8.687570631996642534e-02 1.239025101137294655e-03 1.488671298856411845e-03 9.998350688859661828e-01 -1.989454380553857593e+00
2.374778897689541063e-02 8.688071561934365694e-02 1.238728950834968407e-03 1.488671694449250713e-03 1.000370778509038772e+00 -1.990062217226501451e+00
2.429740922742035236e-02 1.589156904701018169e-01 2.078874224631313203e-03 4.075944160968915028e-03 9.998948425819924601e-01 -1.819401886130439960e+00
4.492120423670670215e-02 1.027164810950109365e-05 3.729041996104937896e-03 7.322396323071354504e-04 1.000466702785402173e+00 -1.997936584321014841e+00
2.374768287262115155e-02 8.687661920322026221e-02 1.238982560643199851e-03 1.488671586734371596e-03 9.993967937475404240e-01 -1.989042156995535438e+00
4.492499213458669982e-02 1.813946614282801529e-05 3.733130901756727751e-03 7.322875560527840897e-04 9.999220734914534559e-01 -1.997415627258767090e+00
